level of education and income in the a neighborhood,supermarket characteristics,weight status and adiposity,purchased food items,household income,level of education,food preferences
-28.744717436196566,-126844379.96631852,8.264077019555073,-1.4562308613301744e+16,9568.204597777341,0.4557390684842225,9567.344610813452
-28.40269104076461,-126849837.11210869,8.49740827543025,-1.4563561650298422e+16,9567.903311922513,-0.46284914206370786,9568.105933942641
-28.05364477248793,-126849719.91978174,8.409473808937035,-1.4563534740734708e+16,9568.26687731309,0.18051011578840742,9567.700693090786
-28.152911661736532,-126849108.23337646,8.736345627346726,-1.4563394286428246e+16,9568.01424861552,-0.24821046978636696,9567.928080160656
-28.096025883704296,-126855888.7529466,8.806135503693692,-1.4564951254708872e+16,9568.010642005525,-0.17083705581429934,9568.467464333095
-28.430146858554654,-126853870.8755923,8.345156442920832,-1.4564487893460396e+16,9568.01423908724,-0.3555119981891973,9568.302957960945
-28.10393409682948,-126854553.47814277,8.782188788557868,-1.4564644637330226e+16,9568.110299308704,-0.4292229507652316,9568.25314288651
-28.134723507176155,-126849750.58702059,8.607205372743884,-1.4563541782507474e+16,9568.078687485475,0.09448392165713514,9567.908464512193
-27.60202377074179,-126846468.52404763,8.38413124723987,-1.4562788168999098e+16,9568.056098968054,-0.46002838866272244,9567.676119295369
-28.667179131500102,-126844392.60447507,8.568465158415991,-1.4562311515136984e+16,9567.487822478628,0.179271683822857,9568.129290915824
-27.92573498331165,-126843511.5186737,8.57308857763476,-1.4562109210548494e+16,9567.769931704845,-0.159880760823464,9567.754252668416
-28.18821693007814,-126844246.53377816,8.560227088314647,-1.4562277975999478e+16,9567.887323920844,-0.25166996636466415,9567.682990719284
-27.935605149884807,-126842293.80089658,9.020951677141715,-1.4561829614786846e+16,9567.702162592635,0.4044314070064405,9567.73212514148
-28.50573114827779,-126843106.1193464,8.765895875897805,-1.456201612798143e+16,9567.732437768242,0.13688796887610527,9567.761030759897
-28.255589981858375,-126848716.93989965,8.14347634352601,-1.456330443869555e+16,9568.019071340612,0.023404755646053082,9567.891591859374
-28.088633868331065,-126851886.91743654,8.554415328123882,-1.4564032328197326e+16,9568.183812159914,0.15963552219360386,9567.962438231558
-28.32298494371033,-126860245.47276494,8.274914845175655,-1.4565951704935328e+16,9568.376648122927,-0.039694677546317766,9568.410505425554
-28.611515510972268,-126854095.2184568,8.187934834027399,-1.4564539408511438e+16,9568.166302471864,-0.36407761297203917,9568.153840585146
-28.47099558166236,-126853551.55403821,8.393526149615816,-1.4564414568949054e+16,9568.33779417097,-0.1476413323743017,9567.92402866062
-27.817084481506207,-126849121.16353054,8.856394390323247,-1.4563397255419424e+16,9568.030966604963,-0.025458693901440264,9567.912192610702
-28.327813337900466,-126859662.03981115,8.484465119372565,-1.4565817727003332e+16,9568.674327728919,-0.09223058249381308,9568.039092212017
-28.771993685767118,-126856815.50489977,9.026298129991215,-1.4565164065425572e+16,9568.498155127525,0.1035871451850997,9568.005239414784
-28.522679987976826,-126853375.5930837,8.707837921244739,-1.4564374163828732e+16,9568.106172854594,0.21309737754197403,9568.163049031096
-28.388601708484956,-126856984.90095808,8.392513383670142,-1.4565202964132186e+16,9568.572046910835,0.0759923440446354,9567.939368167588
-28.703860421324055,-126844496.26587465,8.765926195111945,-1.456233531674422e+16,9567.850315392845,0.7172700509936916,9567.741150729857
-27.659216344217054,-126851928.19372284,8.95152122923224,-1.4564041806168526e+16,9568.081083950785,-0.007958591769240358,9568.07953995295
