level of education and income in the a neighborhood,supermarket characteristics,weight status and adiposity,purchased food items,household income,level of education,food preferences
19699.454084588957,91616448.07145542,6607.854598086381,1662243616863518.5,-2.8200660300230966,0.055210094571338075,-2.550731920759776
19699.411199110884,91616050.77325305,6608.356392581392,1662229200129781.0,-2.813564183945487,-0.06524374018684825,-2.895795170319008
19699.755216184367,91619247.58992377,6608.229198954257,1662345204578394.0,-2.476698125571238,-0.26992675779850844,-2.4297899936923075
19699.816775130996,91619821.14106809,6608.152886881756,1662366017737283.8,-2.5956977407938284,-0.20410208683413872,-2.513525009092111
19699.578266727247,91617604.52681553,6608.021624617357,1662285581438952.0,-2.6805205508129273,-0.0034833401097363326,-2.8874479314834174
19699.658078279597,91618345.38204813,6608.327814678517,1662312465310378.8,-2.4533963982725764,-0.13695358493717555,-2.7971093227360537
19699.83448929334,91619986.8859094,6608.0318619442305,1662372032349354.8,-2.843709670812099,-0.06916090357056567,-2.637423975910572
19699.44921282514,91616402.29071714,6607.817870507982,1662241955617692.0,-2.6302118587520296,0.12035925126783908,-2.549364029021564
19699.706392081982,91618795.69321975,6607.958049515093,1662328806136233.5,-2.6953747274287148,0.2404260953035801,-2.7209177945078586
19699.399381710617,91615939.11036445,6608.356213093272,1662225148237140.5,-2.6202411212707064,0.28557166697294817,-2.6165372076089466
19699.77022905407,91619390.47177206,6607.905822463038,1662350389496343.2,-2.7429598422939576,-0.08402238481462032,-2.9402091572871147
19699.588464693727,91617698.43338254,6607.947857652491,1662288989072520.2,-2.676787374687717,0.15351358009939187,-2.6650406548741694
19699.67525596217,91618506.8346882,6608.267069258476,1662318324070905.5,-2.8551063511546158,-0.02576648514800889,-2.8498881851233913
19699.89009812116,91620503.95470154,6608.284500571824,1662390796008978.5,-2.48492110626538,0.20037720879776028,-2.8106103943952565
19699.907609269725,91620664.83931273,6608.193011556107,1662396634294517.2,-2.484200733815303,-0.1575631962291976,-2.3891970261030147
19699.59119593304,91617723.82022789,6607.978249701371,1662289910298006.0,-2.9735827511462074,0.12355536304130577,-2.476016832761872
19699.690812661243,91618650.74399227,6608.139658921202,1662323546231126.0,-2.5377192716866728,0.046013536808651556,-2.8128054804839584
19699.619177395445,91617982.92468192,6607.905369793619,1662299312568891.0,-2.637375649468298,0.08548705464141376,-2.5072938434503644
19699.63157151804,91618099.55046462,6608.250999174061,1662303544643767.5,-2.970360799832838,-0.11082435397686097,-2.561697958771026
19699.504801965104,91616919.9922547,6608.368723705645,1662260741503757.2,-2.454725053121165,0.07033677586197234,-2.8322486960468156
19699.792926189835,91619600.65618622,6608.30553904986,1662358016714593.5,-2.902876173052024,-0.2115364413386701,-2.654694844815104
